#
#  aracyc 22.6 Reactions link table generated on Tue Nov 27, 2018
#
RXN-11126	EC-6.3.2
RXN-8314	EC-1.14.19.35
3.4.13.9-RXN	EC-3.4.13.9
1.1.1.170-RXN	EC-1.1.1.170
2.1.1.120-RXN	EC-2.1.1.120
RXN-11664	EC-3.4.19
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
RXNQT-4388	EC-2.3.1.51
RXN-14373	
RXN-6724	EC-2.3.1.196
RXN-8976	EC-2.4.1.227
INDOLE-3-ACETALDEHYDE-OXIDASE-RXN	EC-1.2.3.7
DETHIOBIOTIN-SYN-RXN	EC-6.3.3.3
RXN-11539	
RXN-11441	EC-4.4.1
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
RXN-9461	EC-2.4.2.39
ACETOOHBUTREDUCTOISOM-RXN	EC-1.1.1.86
DALADALALIG-RXN	EC-6.3.2.4
1TRANSKETO-RXN	EC-2.2.1.1
RXN-11325	EC-1.14.13
RXN-14012	EC-2.4.1
4-COUMARATE--COA-LIGASE-RXN	EC-6.2.1.12
RXN-11532	EC-1.1.99
RXN-11438	EC-4.4.1
TRANS-CINNAMATE-2-MONOOXYGENASE-RXN	EC-1.14.13.14
RXN-2762	EC-2.1.1.295
RXN-9749	EC-2.4.1
RXNQT-4313	EC-1.14.14
RXN-14200	EC-3.6.1.5
RXN-10948	EC-2.7.1.151
RXN-3521	
RXN-11270	
TSA-REDUCT-RXN	EC-1.1.1.60
2.3.1.158-RXN	EC-2.3.1.158
3.5.5.1-RXN	EC-3.5.5.1
RXN-9265	
RXN-7650	EC-1.14.13
CHOLINE-KINASE-RXN	EC-2.7.1.32
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
RXN-9952	EC-1.1.1.44
2.4.1.224-RXN	EC-2.4.1.224
RXN-6642	EC-3.4.13
RXN-14011	EC-2.4.1
RXN0-5330	EC-1.6.5.9
RXN-16417	EC-1.2.1
GALACTURONOKINASE-RXN	EC-2.7.1.44
RXN-8859	EC-2.3.1
RXN66-477	EC-6.2.1.3
ISOCIT-CLEAV-RXN	EC-4.1.3.1
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1
RXN-7710	EC-2.4.1.18
2-OCTAPRENYLPHENOL-HYDROX-RXN	EC-1.14.13
2.3.1.160-RXN	EC-2.3.1.160
RXN-7748	
RXN-14409	
1.2.1.9-RXN	EC-1.2.1.9
RXN-8482	
RXN-11878	EC-1.3.1
RXN-12196	EC-3.6.1.15
RXN-11359	EC-2.1.1.276
2OXOGLUTDECARB-RXN	EC-1.2.4.2
PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
RXN-5464	EC-2.4.1.131
RXN-14014	EC-1.17.1.8
RXN-9680	EC-2.1.1.161
RXN-9805	EC-1.14.13
RXN-8620	
RXN0-383	EC-3.6.1.9	EC-3.6.1.65
RXN-3741	EC-3.4.19.9
RXNQT-4375	EC-3.1.3
CASBENE-SYNTHASE-RXN	EC-4.2.3.8
THYKI-RXN	EC-2.7.1.145	EC-2.7.1.21
RXN-9531	EC-2.3.1.41
ASPARTATE-RACEMASE-RXN	EC-5.1.1.13
RXN-8509	
RXN-7181	EC-1.5.99.8
RXN-13504	
PYRIDOXINE-4-DEHYDROGENASE-RXN	EC-1.1.1.65
3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN	EC-3.1.3.38
RXN-527	EC-1.14.11.23
RXN-4465	EC-1.1.3
RXN0-7114	EC-2.1.1
RXN0-6490	
RXN-8269	EC-1.12.98.4
RXN0-5185	EC-3.1.3
THREONINE-ALDOLASE-RXN	EC-4.1.2.48	EC-4.1.2.5
RXN0-5182	EC-2.4.1.1
CHORISMATEMUT-RXN	EC-5.4.99.5
RXN-8271	EC-2.4.1
PYRUVATE-DECARBOXYLASE-RXN	EC-4.1.1.1
RXN-8266	EC-2.4.1
RXN-12428	EC-3.2.1.162
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	EC-2.6.1.13
RXN-15149	
RXN-7864	EC-2.3.1.45
RXN-13290	EC-6.2.1.3
RXN-11064	
RXN-13689	EC-1.1.3.8
RXN-17473	
RXN-7682	EC-1.17.1.4
SULFITE-REDUCTASE-FERREDOXIN-RXN	EC-1.8.7.1
+-NEOMENTHOL-DEHYDROGENASE-RXN	EC-1.1.1.208
RXN-12143	EC-1.14.13
DIACYLGLYKIN-RXN	EC-2.7.1.107
RXN-12142	
NAD-SYNTH-GLN-RXN	EC-6.3.5.1
RXN-15980	
3.2.1.106-RXN	EC-3.2.1.106
RXN-9549	EC-3.1.2.14
RXN-8426	EC-4.2.3.95
RXN-11662	EC-1.1.1.35
L-ARABINOKINASE-RXN	EC-2.7.1.46
RXN-8340	EC-4.1.99.22
2.7.8.15-RXN	EC-2.7.8.15
THREDEHYD-RXN	EC-4.3.1.19
TREHALOSE6PSYN-RXN	EC-2.4.1.15
RXN-11404	
RXN-15598	EC-1.16.5.1
INORGPYROPHOSPHAT-RXN	EC-3.6.1.1
RXN-9278	EC-1.14.13
TAGAALDOL-RXN	EC-4.1.2.40
RXN-12370	
RXN-16405	EC-1.2.1.84
RXN-7651	EC-1.14.13.21
RXN-13163	EC-4.2.1.33
RXN-7796	EC-1.14.18.7
2.7.7.44-RXN	EC-2.7.7.44
3.6.3.35-RXN	EC-3.6.3.35
RXN-15121	
RXN-11705	EC-2.4.1
RXN-14301	
BENZOYLFORMATE-DECARBOXYLASE-RXN	EC-4.1.1.7
RXN-2602	EC-1.1.1.195	EC-1.1.1.194
RXN-14213	EC-3.6.1
MHPCHYDROL-RXN	EC-3.7.1.14
RXN-9629	EC-3.1.2.2
RXN-9944	EC-1.8.7.2
IGPSYN-RXN	EC-4.1.1.48
2.4.1.43-RXN	EC-2.4.1.43
RXN-9479	EC-2.3.1.221
RXN-12980	EC-4.2.3.108
RXN-12326	EC-5.4.99.56
1.14.21.2-RXN	EC-1.14.21.2
RXN-11449	
OXALATE--COA-LIGASE-RXN	EC-6.2.1.8
3.2.1.142-RXN	EC-3.2.1.142
BUTYRATE--COA-LIGASE-RXN	EC-6.2.1.2
PSII-RXN	EC-1.10.3.9
HYDROPEROXIDE-DEHYDRATASE-RXN	EC-4.2.1.92
RXNQT-4169	EC-2.3.3.c
1.14.13.56-RXN	EC-1.14.13.56
RXN1F-461	EC-2.4.1.91
TRIACYLGLYCEROL-LIPASE-RXN	EC-3.1.1.3
RXN-9644	EC-6.2.1.3
RXN-8813	EC-2.5.1.81
RXN-12872	
RXN-7699	EC-4.2.1.119
RXN-8236	EC-1.13.12
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
RXN-9084	EC-6.3
5.1.2.3-RXN	EC-5.1.2.3
RXN-8814	EC-1.14.12.23
RXN-16592	
RXN-17252	
RXN-5466	EC-2.4.1.258
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN	EC-1.1.99.2
RXN-11524	EC-4.4.1.4
RXN-14531	EC-2.8.4.5
UMPKI-RXN	EC-2.7.4.14
